code,title,Level
111110,Soybean Farming,6
111120,Oilseed (except Soybean) Farming,6
111130,Dry Pea and Bean Farming,6
111140,Wheat Farming,6
111150,Corn Farming,6
111160,Rice Farming,6
111191,Oilseed and Grain Combination Farming,6
111199,All Other Grain Farming,6
111211,Potato Farming,6
111219,Other Vegetable (except Potato) and Melon Farming,6
111310,Orange Groves,6
111320,Citrus (except Orange) Groves,6
111331,Apple Orchards,6
111332,Grape Vineyards,6
111333,Strawberry Farming,6
111334,Berry (except Strawberry) Farming,6
111335,Tree Nut Farming,6
111336,Fruit and Tree Nut Combination Farming,6
111339,Other Noncitrus Fruit Farming,6
111411,Mushroom Production,6
111419,Other Food Crops Grown Under Cover,6
111421,Nursery and Tree Production,6
111422,Floriculture Production,6
111910,Tobacco Farming,6
111920,Cotton Farming,6
111930,Sugarcane Farming,6
111940,Hay Farming,6
111991,Sugar Beet Farming,6
111992,Peanut Farming,6
111998,All Other Miscellaneous Crop Farming,6
112111,Beef Cattle Ranching and Farming,6
112112,Cattle Feedlots,6
112120,Dairy Cattle and Milk Production,6
112130,Dual-Purpose Cattle Ranching and Farming,6
112210,Hog and Pig Farming,6
112310,Chicken Egg Production,6
112320,Broilers and Other Meat Type Chicken Production,6
112330,Turkey Production,6
112340,Poultry Hatcheries,6
112390,Other Poultry Production,6
112410,Sheep Farming,6
112420,Goat Farming,6
112511,Finfish Farming and Fish Hatcheries,6
112512,Shellfish Farming,6
112519,Other Aquaculture,6
112910,Apiculture,6
112920,Horses and Other Equine Production,6
112930,Fur-Bearing Animal and Rabbit Production,6
112990,All Other Animal Production,6
113110,Timber Tract Operations,6
113210,Forest Nurseries and Gathering of Forest Products,6
113310,Logging,6
114111,Finfish Fishing,6
114112,Shellfish Fishing,6
114119,Other Marine Fishing,6
114210,Hunting and Trapping,6
115111,Cotton Ginning,6
115112,"Soil Preparation, Planting, and Cultivating",6
115113,"Crop Harvesting, Primarily by Machine",6
115114,Postharvest Crop Activities (except Cotton Ginning),6
115115,Farm Labor Contractors and Crew Leaders,6
115116,Farm Management Services,6
115210,Support Activities for Animal Production,6
115310,Support Activities for Forestry,6
211120,Crude Petroleum Extraction,6
211130,Natural Gas Extraction,6
212114,Surface Coal Mining,6
212115,Underground Coal Mining,6
212210,Iron Ore Mining,6
212220,Gold Ore and Silver Ore Mining,6
212230,"Copper, Nickel, Lead, and Zinc Mining",6
212290,Other Metal Ore Mining,6
212311,Dimension Stone Mining and Quarrying,6
212312,Crushed and Broken Limestone Mining and Quarrying,6
212313,Crushed and Broken Granite Mining and Quarrying,6
212319,Other Crushed and Broken Stone Mining and Quarrying,6
212321,Construction Sand and Gravel Mining,6
212322,Industrial Sand Mining,6
212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining",6
212390,Other Nonmetallic Mineral Mining and Quarrying,6
213111,Drilling Oil and Gas Wells,6
213112,Support Activities for Oil and Gas Operations,6
213113,Support Activities for Coal Mining,6
213114,Support Activities for Metal Mining,6
213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,6
221111,Hydroelectric Power Generation,6
221112,Fossil Fuel Electric Power Generation,6
221113,Nuclear Electric Power Generation,6
221114,Solar Electric Power Generation,6
221115,Wind Electric Power Generation,6
221116,Geothermal Electric Power Generation,6
221117,Biomass Electric Power Generation,6
221118,Other Electric Power Generation,6
221121,Electric Bulk Power Transmission and Control,6
221122,Electric Power Distribution,6
221210,Natural Gas Distribution,6
221310,Water Supply and Irrigation Systems,6
221320,Sewage Treatment Facilities,6
221330,Steam and Air-Conditioning Supply,6
236115,New Single-Family Housing Construction (except For-Sale Builders),6
236116,New Multifamily Housing Construction (except For-Sale Builders),6
236117,New Housing For-Sale Builders,6
236118,Residential Remodelers,6
236210,Industrial Building Construction,6
236220,Commercial and Institutional Building Construction,6
237110,Water and Sewer Line and Related Structures Construction,6
237120,Oil and Gas Pipeline and Related Structures Construction,6
237130,Power and Communication Line and Related Structures Construction,6
237210,Land Subdivision,6
237310,"Highway, Street, and Bridge Construction",6
237990,Other Heavy and Civil Engineering Construction,6
238110,Poured Concrete Foundation and Structure Contractors,6
238120,Structural Steel and Precast Concrete Contractors,6
238130,Framing Contractors,6
238140,Masonry Contractors,6
238150,Glass and Glazing Contractors,6
238160,Roofing Contractors,6
238170,Siding Contractors,6
238190,"Other Foundation, Structure, and Building Exterior Contractors",6
238210,Electrical Contractors and Other Wiring Installation Contractors,6
238220,"Plumbing, Heating, and Air-Conditioning Contractors",6
238290,Other Building Equipment Contractors,6
238310,Drywall and Insulation Contractors,6
238320,Painting and Wall Covering Contractors,6
238330,Flooring Contractors,6
238340,Tile and Terrazzo Contractors,6
238350,Finish Carpentry Contractors,6
238390,Other Building Finishing Contractors,6
238910,Site Preparation Contractors,6
238990,All Other Specialty Trade Contractors,6
311111,Dog and Cat Food Manufacturing,6
311119,Other Animal Food Manufacturing,6
311211,Flour Milling,6
311212,Rice Milling,6
311213,Malt Manufacturing,6
311221,Wet Corn Milling and Starch Manufacturing,6
311224,Soybean and Other Oilseed Processing,6
311225,Fats and Oils Refining and Blending,6
311230,Breakfast Cereal Manufacturing,6
311313,Beet Sugar Manufacturing,6
311314,Cane Sugar Manufacturing,6
311340,Nonchocolate Confectionery Manufacturing,6
311351,Chocolate and Confectionery Manufacturing from Cacao Beans,6
311352,Confectionery Manufacturing from Purchased Chocolate,6
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",6
311412,Frozen Specialty Food Manufacturing,6
311421,Fruit and Vegetable Canning,6
311422,Specialty Canning,6
311423,Dried and Dehydrated Food Manufacturing,6
311511,Fluid Milk Manufacturing,6
311512,Creamery Butter Manufacturing,6
311513,Cheese Manufacturing,6
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",6
311520,Ice Cream and Frozen Dessert Manufacturing,6
311611,Animal (except Poultry) Slaughtering,6
311612,Meat Processed from Carcasses,6
311613,Rendering and Meat Byproduct Processing,6
311615,Poultry Processing,6
311710,Seafood Product Preparation and Packaging,6
311811,Retail Bakeries,6
311812,Commercial Bakeries,6
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",6
311821,Cookie and Cracker Manufacturing,6
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",6
311830,Tortilla Manufacturing,6
311911,Roasted Nuts and Peanut Butter Manufacturing,6
311919,Other Snack Food Manufacturing,6
311920,Coffee and Tea Manufacturing,6
311930,Flavoring Syrup and Concentrate Manufacturing,6
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",6
311942,Spice and Extract Manufacturing,6
311991,Perishable Prepared Food Manufacturing,6
311999,All Other Miscellaneous Food Manufacturing,6
312111,Soft Drink Manufacturing,6
312112,Bottled Water Manufacturing,6
312113,Ice Manufacturing,6
312120,Breweries,6
312130,Wineries,6
312140,Distilleries,6
312230,Tobacco Manufacturing,6
313110,"Fiber, Yarn, and Thread Mills",6
313210,Broadwoven Fabric Mills,6
313220,Narrow Fabric Mills and Schiffli Machine Embroidery,6
313230,Nonwoven Fabric Mills,6
313240,Knit Fabric Mills,6
313310,Textile and Fabric Finishing Mills,6
313320,Fabric Coating Mills,6
314110,Carpet and Rug Mills,6
314120,Curtain and Linen Mills,6
314910,Textile Bag and Canvas Mills,6
314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",6
314999,All Other Miscellaneous Textile Product Mills,6
315120,Apparel Knitting Mills,6
315210,Cut and Sew Apparel Contractors,6
315250,Cut and Sew Apparel Manufacturing (except Contractors),6
315990,Apparel Accessories and Other Apparel Manufacturing,6
316110,Leather and Hide Tanning and Finishing,6
316210,Footwear Manufacturing,6
316990,Other Leather and Allied Product Manufacturing,6
321113,Sawmills,6
321114,Wood Preservation,6
321211,Hardwood Veneer and Plywood Manufacturing,6
321212,Softwood Veneer and Plywood Manufacturing,6
321215,Engineered Wood Member Manufacturing,6
321219,Reconstituted Wood Product Manufacturing,6
321911,Wood Window and Door Manufacturing,6
321912,"Cut Stock, Resawing Lumber, and Planing",6
321918,Other Millwork (including Flooring),6
