sic1987,naics2022
0111,11114
0112,11116
0115,11115
0116,11111
0119,11112
0119,11113
0119,11115
0119,11119
0119,11119
0131,11192
0132,11191
0133,11193
0133,11199
0134,11121
0139,11119
0139,11121
0139,11121
0139,11194
0139,11199
0139,11199
0139,11251
0161,11121
0161,11121
0171,11133
0171,11133
0172,11133
0173,11133
0174,11131
0174,11132
0175,11133
0175,11133
0179,11133
0179,11133
0181,11142
0181,11142
0182,11141
0182,11141
0191,11199
0191,11251
0211,11211
0212,11211
0213,11221
0214,11241
0214,11242
0219,11299
0241,11211
0241,11212
0251,11232
0252,11231
0253,11233
0254,11234
0259,11239
0271,11293
0272,11292
0273,11251
0273,11251
0273,11251
0279,11251
0279,11291
0279,11299
0291,11299
0711,11511
0721,11511
0722,11511
0723,11511
0723,31111
0724,11511
0741,54194
0742,54194
0751,11521
0751,31161
0752,11521
0752,81291
0761,11511
0762,11511
0781,54132
0781,54169
0782,56173
0783,56173
0811,11142
0811,11311
0831,11199
0831,11251
0831,11321
0851,11531
0912,11411
0913,11411
0919,11199
0919,11251
0919,11251
0919,11411
0919,11411
0921,11251
0921,11251
0971,11421
1011,21221
1021,21223
1031,21223
1041,21222
1044,21222
1061,21223
1061,21229
1081,21311
1081,23891
1081,54136
1094,21229
1099,21229
1221,21211
1222,21211
1231,21211
1231,21211
1241,21311
1241,23891
1311,21112
1311,21113
1321,21113
1381,21311
1382,21311
1382,54136
1389,21311
1389,23712
1389,23891
1411,21231
1422,21231
1423,21231
1429,21231
1442,21232
1446,21232
1455,21232
1459,21232
1474,21239
1475,21239
1479,21239
1481,21311
1481,23891
1481,54136
1499,21231
1499,21239
1521,23611
1521,23611
1522,23611
1522,23611
1522,23622
1531,23611
1531,23611
1531,23621
1531,23622
1541,23621
1541,23622
1542,23622
1611,23731
1622,23731
1622,23799
1623,23711
1623,23712
1623,23713
1629,23621
1629,23711
1629,23712
1629,23713
1629,23799
1629,23891
1711,23821
1711,23822
1711,23891
1721,23731
1721,23832
1731,23821
1741,23814
1742,23831
1743,23831
1743,23834
1751,23813
1751,23835
1752,23831
1752,23833
1761,23816
1761,23817
1761,23839
1771,23811
1771,23814
1771,23899
1781,23711
1791,23812
1791,23819
1791,23822
1791,23831
1793,23815
1794,23891
1795,23891
1796,23822
1796,23829
1799,23622
1799,23799
1799,23815
1799,23819
1799,23829
1799,23831
1799,23832
1799,23835
1799,23839
1799,23891
1799,23899
1799,56179
1799,56291
2011,31161
2013,31161
2013,31161
2015,31161
2015,31199
2021,31151
2022,31151
2023,31151
2023,31151
2024,31152
2026,31151
2026,31151
2032,31142
2032,31199
2033,31142
2034,31121
2034,31142
2034,31199
2035,31142
2035,31194
2037,31141
2038,31141
2041,31121
2043,31123
2043,31192
2044,31121
2045,31182
2046,31122
2046,31122
2047,31111
2048,31111
2048,31161
2051,31181
2052,31181
2052,31182
2052,31191
2053,31181
2061,31131
2062,31131
2063,31131
2064,31134
2064,31135
2066,31135
2066,31135
2067,31134
2068,31191
2074,31122
2074,31122
2075,31122
2075,31122
2076,31122
2076,31122
2077,31161
2077,31171
2077,31171
2079,31122
2079,31122
2079,31122
2082,31194
2082,31212
2083,31121
2084,31213
2085,31213
2085,31214
2086,31211
2086,31211
2087,31192
2087,31193
2087,31194
2087,31199
2091,31171
2092,31171
2095,31192
2096,31191
2097,31211
2098,31182
2099,11199
2099,11251
2099,31121
2099,31134
2099,31142
2099,31182
2099,31183
2099,31191
2099,31192
2099,31194
2099,31194
2099,31199
2099,31199
2111,31223
2121,31223
2131,31223
2141,31223
2141,31223
2211,31321
2221,31321
2231,31321
