soc1980,soc2010
111,11-1031
112,11-1011
1131,11-1011
1131,11-3011
1131,11-3051
1131,11-9161
1131,25-3021
1132,11-1011
1132,11-3131
1132,29-2071
1132,29-9011
1133,11-1011
1134,11-1011
1134,11-9041
1135,11-1011
1139,11-1011
1139,11-9041
1139,11-9199
1139,13-1121
1139,13-1161
1139,13-1199
1139,33-3051
1139,43-4061
121,11-1011
121,11-1021
121,11-3071
121,11-9111
122,11-3031
123,11-3111
123,11-3131
123,13-1071
123,13-1075
124,11-3061
125,11-2011
125,11-2021
125,11-2022
125,11-2031
126,11-3021
126,11-9041
126,11-9121
126,11-9199
126,17-2112
127,11-2031
127,11-9151
1281,11-9033
1281,11-9199
1282,11-9031
1282,11-9032
1283,11-9031
1283,11-9032
1283,11-9039
1283,11-9199
1283,13-1151
1283,21-1015
1283,25-4012
1283,25-4021
131,11-3011
131,11-9033
131,11-9111
131,29-1181
131,29-9092
131,29-9099
132,11-3051
132,11-3071
132,11-9199
132,45-1011
132,49-1011
132,53-1021
133,11-9021
1341,11-3071
1341,11-9199
1341,27-2012
1341,43-1011
1342,11-3071
1342,11-9199
1343,11-3071
1343,11-9199
1343,43-1011
1344,11-9131
1351,11-9051
1351,11-9081
1351,11-9199
1351,13-1121
1351,37-1011
1352,11-9071
1352,11-9151
1352,11-9199
1352,39-9032
1353,11-9141
1353,13-1121
1353,13-1161
1353,13-1199
1354,11-2021
1354,11-9199
1359,11-1011
1359,11-3051
1359,11-9061
1359,11-9151
1359,11-9199
1359,13-1121
1359,13-1161
1359,13-1199
1359,39-4031
1359,45-1011
136,11-9021
136,11-9199
137,11-1011
137,11-3011
137,11-3061
137,11-9199
137,49-1011
139,11-1011
139,11-2022
139,11-2031
139,11-3011
139,11-9199
139,13-1121
139,13-1151
139,13-1161
139,13-1199
139,41-1012
1412,13-2011
1414,13-2053
1415,13-2072
1415,43-4131
1419,11-3031
1419,13-2031
1419,13-2041
1419,13-2051
1419,13-2052
1419,13-2071
1419,13-2099
1419,33-9021
1419,41-3021
142,13-1111
142,49-1011
143,11-3111
143,11-3121
143,13-1071
143,13-1075
143,13-1121
143,13-1141
143,13-1151
143,13-1161
143,13-1199
143,21-1092
143,23-1022
143,27-2012
143,41-1012
143,43-4061
1442,13-1022
1443,11-3061
1443,13-1021
1443,41-3031
1449,13-1021
1449,13-1023
1449,13-1121
1449,13-1161
1449,13-1199
1449,17-2112
145,11-9199
145,13-1011
1472,33-2021
1472,47-2061
1472,47-4011
1472,53-7199
1473,11-9199
1473,13-1031
1473,13-1041
1473,13-1121
1473,13-1161
1473,13-1199
1473,13-2021
1473,13-2061
1473,13-2081
1473,17-2151
1473,17-3026
1473,29-9011
1473,33-3021
1473,33-9093
1473,43-3021
1473,45-2011
1473,45-4029
1473,47-2231
1473,47-4011
1473,49-9081
1473,49-9099
1473,53-6051
149,11-3071
149,11-9199
149,13-1031
149,13-1051
149,13-1121
149,13-1161
149,13-1199
149,15-1142
149,21-1012
149,41-1012
149,41-3021
149,43-6011
161,17-1011
161,17-1012
1622,17-2011
1623,17-2131
1624,17-2151
1624,17-2171
1625,11-9041
1625,17-2171
1626,11-9121
1626,17-2041
1627,17-2161
1628,11-9041
1628,17-2051
1628,17-2161
1632,17-2021
1633,11-9041
1633,17-2061
1633,17-2071
1633,17-2072
1634,17-2051
1634,17-2111
1634,17-2112
1635,11-9041
1635,17-2141
1635,17-3027
1636,15-1111
1636,15-1132
1636,15-1133
1636,15-1199
1637,17-2121
1639,11-9041
1639,13-1081
1639,17-2031
1639,17-2081
1639,17-2199
1643,17-1022
1644,17-1021
1649,17-1022
1712,15-1121
1712,15-1143
1719,15-1121
1719,15-1141
1719,15-1143
1719,15-1151
1721,15-2031
1722,15-2031
1732,15-2011
1733,15-2041
1739,15-2021
1739,15-2099
1842,19-2011
1843,19-1042
1843,19-2012
1845,11-9121
1845,19-2031
1845,51-1011
1846,19-2021
1847,19-2042
1847,19-2043
1849,17-2081
1849,19-2032
1849,19-2041
1849,19-3092
1852,13-1121
1852,13-1161
1852,13-1199
1852,19-1031
1852,19-1032
1852,19-2099
1852,19-4093
1853,19-1011
1853,19-1012
1853,19-1013
1854,19-1013
1854,19-1021
1854,19-1022
1854,19-1023
1854,19-1041
1855,19-1041
1855,19-1042
1855,19-1099
1912,13-1161
1912,19-3011
1913,19-3093
1913,27-3043
1914,19-3094
1915,19-3031
1915,19-3032
1915,19-3039
1916,19-3041
1919,19-3091
1919,19-3099
1919,25-4013
192,19-3051
2032,11-9151
2032,21-1011
2032,21-1021
2032,21-1022
2032,21-1023
2032,21-1092
2032,21-1093
2032,33-3021
2032,39-9041
2032,43-4061
2033,39-9032
2042,21-2011
2049,21-2021
2049,21-2099
211,13-1121
211,13-1161
211,13-1199
211,23-1011
212,23-1021
212,23-1023
2212,25-1051
2213,25-1042
2214,25-1052
2215,25-1054
2216,25-1053
2216,25-1199
2216,25-3021
2217,25-1066
2218,25-1063
2222,25-1125
2223,25-1065
2224,25-1061
2224,25-1067
2225,25-1062
2225,25-1064
2225,25-1069
2226,25-1032
2227,25-1022
2228,25-1021
2231,25-1071
2232,25-1072
2233,25-1011
2234,25-1041
2235,25-1121
2236,25-1193
2237,25-1081
2238,25-1123
2242,25-1124
2243,25-1112
2244,25-1113
2245,25-1126
2246,25-1194
2247,25-1192
2249,25-1021
2249,25-1031
2249,25-1043
2249,25-1082
2249,25-1111
2249,25-1122
2249,25-1126
2249,25-1191
2249,25-1194
2249,25-1199
2249,25-2031
231,25-2011
231,25-2012
232,25-2021
233,25-2022
233,25-2023
233,25-2031
233,25-2032
235,25-2051
235,25-2052
235,25-2053
235,25-2054
236,21-1091
236,21-1094
236,25-9011
236,25-9031
239,25-1192
239,25-1193
239,25-1194
239,25-2022
239,25-2031
239,25-2059
239,25-3011
239,25-3021
239,25-3099
239,25-9021
239,39-9011
239,39-9031
24,21-1012
24,21-1013
24,21-1015
251,13-1121
251,13-1161
251,13-1199
251,25-4021
251,25-4031
251,25-9099
252,25-4011
252,25-4012
252,25-4013
252,25-9099
252,39-7011
261,29-1061
261,29-1062
261,29-1063
261,29-1064
261,29-1065
261,29-1066
261,29-1067
261,29-1069
261,29-1199
262,11-9199
262,29-1021
262,29-1022
262,29-1023
262,29-1024
262,29-1029
27,29-1131
281,29-1041
283,29-1081
289,29-1011
289,29-1128
289,29-1129
289,29-1199
29,29-1141
29,29-1151
29,29-1161
29,29-1171
301,29-1051
302,29-1031
302,29-2051
3031,29-1126
3032,29-1122
3033,29-1123
3033,29-1128
3033,29-1129
3034,29-1127
3034,29-1181
3039,11-9111
3039,19-3031
3039,21-1015
3039,25-2059
3039,25-3099
3039,29-1125
3039,29-1128
3039,29-1129
304,29-1071
321,27-3043
321,27-3099
322,27-1011
322,27-1021
322,27-1022
322,27-1023
322,27-1024
322,27-1025
322,27-1026
322,27-1027
323,13-1121
323,13-1161
323,13-1199
323,27-2041
323,27-2042
323,27-2099
324,27-2011
324,27-2012
324,27-3041
324,43-9061
325,27-1013
325,27-1014
325,27-1021
325,33-1012
326,27-4021
326,27-4031
326,39-9099
327,27-2031
327,27-2032
328,27-2011
328,27-2012
328,27-2021
328,27-2099
328,27-4011
328,39-2011
329,11-1011
329,11-9199
329,23-2091
329,25-9011
329,27-1013
329,27-1027
329,27-3043
329,27-3091
329,51-7099
3312,27-3041
3312,27-3042
3312,27-4032
3313,27-3021
3313,27-3022
3313,27-3043
332,11-2031
332,13-1071
332,13-1075
332,13-1121
332,13-1161
332,27-3031
333,27-3011
333,27-3012
34,13-1011
34,27-2021
34,27-2022
34,27-2023
34,29-9091
34,39-2021
362,29-2011
363,29-2021
364,29-2071
365,29-1124
365,29-2031
365,29-2033
365,29-2034
365,29-2035
366,29-2053
366,29-2061
366,31-1014
366,31-1015
369,29-1071
369,29-2011
369,29-2012
369,29-2031
369,29-2032
369,29-2034
369,29-2035
369,29-2041
369,29-2052
369,29-2055
369,29-2056
369,29-2057
369,29-2091
369,29-2092
369,29-2099
369,29-9011
369,29-9092
369,29-9099
369,31-9095
369,31-9096
3711,17-3023
3711,27-4012
3711,51-9141
3712,17-3026
3713,17-2141
3713,17-3027
3719,17-3012
3719,17-3021
3719,17-3022
3719,17-3029
3719,19-4031
3719,19-4041
3719,27-3042
3719,27-4011
3719,27-4014
3719,27-4032
3719,51-4041
3719,51-9195
372,17-3011
372,17-3012
372,17-3013
372,17-3019
3733,17-3031
3734,17-1021
3734,17-3031
3739,17-1021
3739,17-3031
382,19-1021
382,19-4011
382,19-4021
382,19-4099
382,37-3013
3831,19-4011
3831,19-4031
